session_id;username;time;positionx;positiony;positionz
1;manavld;20/12/2020 03:37:02;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:02;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:03;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:03;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:03;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:04;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:04;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:04;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:04;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:05;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:05;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:05;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:06;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:06;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:07;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:07;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:07;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:07;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:08;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:08;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:08;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:09;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:09;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:09;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:10;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:10;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:10;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:10;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:11;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:11;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:11;31,37225;0,2990355;0,9504073
1;manavld;20/12/2020 03:37:12;31,38263;0,2997535;0,9232189
1;manavld;20/12/2020 03:37:12;31,74411;0,3238696;-0,02371052
1;manavld;20/12/2020 03:37:12;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:13;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:13;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:13;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:13;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:14;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:14;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:14;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:15;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:15;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:15;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:16;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:16;31,74411;0,3238695;-0,02371052
1;manavld;20/12/2020 03:37:16;31,77128;0,3247668;-0,01352995
1;manavld;20/12/2020 03:37:17;32,9859;0,3243197;0,5266576
1;manavld;20/12/2020 03:37:17;33,44543;0,323577;0,7310143
1;manavld;20/12/2020 03:37:17;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:17;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:18;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:18;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:18;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:19;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:19;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:19;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:20;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:20;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:20;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:20;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:21;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:21;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:21;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:22;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:22;33,5997;0,3233277;0,7996151
1;manavld;20/12/2020 03:37:22;26;0,88;1
1;manavld;20/12/2020 03:37:23;26;0,04483724;1
1;manavld;20/12/2020 03:37:23;26;0,04483724;1
1;manavld;20/12/2020 03:37:23;26;0,04483724;1
1;manavld;20/12/2020 03:37:23;26;0,04483724;1
1;manavld;20/12/2020 03:37:24;26;0,04483724;1
1;manavld;20/12/2020 03:37:24;26;0,04483724;1
1;manavld;20/12/2020 03:37:24;27,16979;0,05751216;1,862869
1;manavld;20/12/2020 03:37:25;29,08176;0,1325495;3,012096
1;manavld;20/12/2020 03:37:25;30,09845;0,4040084;4,984315
1;manavld;20/12/2020 03:37:25;30,8857;0,6699269;7,066173
1;manavld;20/12/2020 03:37:26;30,57829;0,6587849;9,061419
1;manavld;20/12/2020 03:37:26;29,0607;0,5263478;10,58872
